Attrbuttes,Amount
Patrol ,501,892,759
Investgation,156,233,518
Adminstration,117,331,534
Other Specialized Unit,85,092,645
Other ,52,692,337
Evidence and Property,20,872,513
Total in Personnel Services,934,115,306
Adminstration,5,814,026
Patrol ,3,216,513
Other Specialized Unit,1,077,894
Evidence and Property,1,037,906
Investgation,661,179
Other,224,748
Total in Material and Services,12,032,266
Patrol ,2,676,408
Adminstration,2,293,225
Investgation,1,367,116
Other Specialized Unit,816,632
Evidence and Property,483,982
Other,333,772
Total in Contractual Services ,7,971,135
Adminstration,2,063,047
Other Specialized Unit,369,500
Patrol ,34,346
Investgation,29,085
Evidence and Property,15,96"
Other,1500
Total in Equipment ,2,513,444
Total Budget, 956,632,151
